19:16:14#0,09510971:0,8456831:-0,1905316/0,03413837:0,5046839:0,03313398:-0,8619925#-0,03374368:0,9425915:-0,06279302/-0,6746349:-0,1070688:0,01754608:-0,7301344#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003022566:0,7403407:-0,007301584/0,6392297:0,0003799796:-0,7616237:0,1063708#0,2894962:1,064992:-0,1851484/-0,4140956:-0,4482677:-0,5385132:-0,5810203
19:16:14#0,09510971:0,8456831:-0,1905316/0,03413837:0,5046839:0,03313398:-0,8619925#-0,03374639:0,942592:-0,06279433/-0,6746299:-0,1070777:0,01753928:-0,7301378#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003010184:0,7403324:-0,007297844/0,6392288:0,0003906414:-0,7616227:0,106385#0,2894889:1,064992:-0,1851448/-0,4140946:-0,4482667:-0,5385139:-0,5810212
19:16:14#0,09510929:0,8456848:-0,1905336/0,03412469:0,5046701:0,03312819:-0,8620012#-0,03375134:0,9425932:-0,06279576/-0,6746248:-0,1070962:0,01753006:-0,73014#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003021359:0,7403359:-0,007292435/0,6392146:0,0003960431:-0,7616329:0,1063972#0,2894902:1,064992:-0,1851497/-0,4141033:-0,4482761:-0,5385072:-0,5810139
19:16:14#0,09510704:0,8456767:-0,1905281/0,03419992:0,5046697:0,03311437:-0,861999#-0,03375605:0,9425944:-0,06279719/-0,6746185:-0,1071113:0,01751732:-0,730144#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003020436:0,7403423:-0,007304788/0,6392228:0,0004045926:-0,7616234:0,1064149#0,2894885:1,064994:-0,1851504/-0,4140933:-0,4482652:-0,5385149:-0,5810222
19:16:14#0,09510647:0,8456802:-0,1905319/0,03416795:0,5046551:0,03312152:-0,8620085#-0,03375998:0,9425939:-0,06280339/-0,6745977:-0,1071251:0,01751141:-0,7301612#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003020585:0,7403253:-0,007266581/0,6392049:0,000415571:-0,7616355:0,1064338#0,2894799:1,064978:-0,185127/-0,4141043:-0,4482771:-0,5385062:-0,5810131
19:16:14#0,09510656:0,8456795:-0,1905311/0,03417343:0,5046604:0,03312467:-0,8620051#-0,03376547:0,9425949:-0,06280601/-0,6745877:-0,1071436:0,01749849:-0,7301681#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003026068:0,7403514:-0,007308856/0,6392171:0,0004041679:-0,7616214:0,1064626#0,2894776:1,064983:-0,1851504/-0,4140914:-0,448263:-0,5385164:-0,5810239
19:16:14#0,09511127:0,8456853:-0,1905322/0,0341289:0,5046674:0,03309014:-0,8620041#-0,03377178:0,9425965:-0,06280786/-0,6745839:-0,1071734:0,01749623:-0,7301674#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003027827:0,7403469:-0,007291481/0,639214:0,0004113279:-0,7616206:0,1064869#0,2894792:1,064981:-0,1851384/-0,4140905:-0,4482621:-0,5385169:-0,5810245
19:16:14#0,09511498:0,8456883:-0,1905316/0,03410443:0,5046863:0,03307664:-0,8619946#-0,03377816:0,9425978:-0,06281072/-0,6745736:-0,1071966:0,0174838:-0,7301738#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,00304836:0,7403647:-0,007306725/0,6392087:0,0004249364:-0,7616225:0,1065046#0,2894999:1,064995:-0,1851424/-0,4140831:-0,4482543:-0,5385227:-0,5810308
19:16:15#0,09511177:0,8456842:-0,1905307/0,0341399:0,5046723:0,03308238:-0,8620012#-0,03378314:0,9425983:-0,06281447/-0,674561:-0,1072148:0,01747539:-0,7301829#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003059775:0,7403622:-0,007289678/0,6391739:0,0004387945:-0,7616484:0,1065309#0,28951:1,065007:-0,1851499/-0,4141028:-0,4482754:-0,5385075:-0,5810142
19:16:15#0,09511171:0,8456853:-0,1905318/0,03412612:0,5046782:0,03310155:-0,8619975#-0,03378537:0,942598:-0,06281823/-0,6745483:-0,1072225:0,01747191:-0,7301936#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003033698:0,7403499:-0,007287458/0,639183:0,0004390553:-0,7616371:0,1065551#0,2894918:1,064999:-0,185137/-0,4140914:-0,4482633:-0,5385163:-0,5810239
19:16:15#0,09511225:0,8456858:-0,1905318/0,03412239:0,5046791:0,03309689:-0,8619972#-0,03379086:0,9426:-0,06281781/-0,6745455:-0,1072357:0,0174487:-0,7301949#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003045827:0,7403622:-0,007295385/0,6391758:0,000433702:-0,7616407:0,1065723#0,2894941:1,065:-0,1851486/-0,4140941:-0,4482661:-0,5385143:-0,5810217
19:16:15#0,09511063:0,8456836:-0,1905312/0,0341365:0,504685:0,0331226:-0,8619923#-0,03379244:0,9426:-0,06281954/-0,6745413:-0,1072449:0,01745178:-0,7301973#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003052577:0,7403659:-0,007290423/0,639185:0,0004489608:-0,7616303:0,1065924#0,2894978:1,065001:-0,1851433/-0,4140909:-0,4482628:-0,5385165:-0,5810242
19:16:15#0,09510957:0,8456826:-0,1905313/0,03414867:0,5046698:0,03310776:-0,8620012#-0,03379905:0,9426012:-0,06282276/-0,674532:-0,1072735:0,01744618:-0,7302018#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003051504:0,7403595:-0,007282346/0,6391598:0,0004516244:-0,7616506:0,1065989#0,2894898:1,064996:-0,1851482/-0,4141037:-0,4482765:-0,5385069:-0,5810136
19:16:15#0,09511333:0,845686:-0,1905309/0,03412076:0,5046897:0,03309727:-0,8619911#-0,03380379:0,9426013:-0,06282777/-0,6745117:-0,1072834:0,01742703:-0,7302195#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003050685:0,7403677:-0,007293761/0,639176:0,0004581697:-0,7616335:0,106623#0,2894885:1,064991:-0,1851353/-0,4140825:-0,4482537:-0,538523:-0,5810312
19:16:15#0,09511081:0,8456848:-0,1905322/0,03412708:0,5046784:0,03311549:-0,8619968#-0,0338079:0,9426013:-0,06283242/-0,6744961:-0,1072982:0,01742057:-0,7302319#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003080219:0,7403806:-0,007282004/0,6391515:0,0004573725:-0,7616493:0,1066564#0,2895048:1,065001:-0,1851495/-0,4141018:-0,4482743:-0,5385082:-0,5810152
19:16:15#0,09511291:0,8456863:-0,1905316/0,03411477:0,5046915:0,03311045:-0,8619898#-0,03381103:0,9426022:-0,06283319/-0,6744909:-0,1073053:0,01740715:-0,730236#0,454972:1,240017:-0,3898662/0:-0,1160284:0:0,9932459#0,003053099:0,7403734:-0,007289708/0,639167:0,0004510917:-0,7616329:0,1066811#0,2894894:1,064999:-0,185144/-0,4140866:-0,4482579:-0,5385199:-0,5810279
