"Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
14:21:21:386","-0.003904231","1.705237","0.00177145","0.03997711","0.08169373","-0.03306245","-0.9953064","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.2090695","1.095926","0.2890997","-0.9182836","0.08235678","0.3698827","-0.1147148","-0.5495222","1.04462","0.2277531","0.6215584","0.002355392","0.7729096","0.1275561"
14:21:21:408","-0.004838835","1.707083","-0.007309616","0.03611061","0.07807625","-0.03311194","-0.9957428","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.206001","1.097754","0.283133","-0.9177737","0.08219857","0.3711467","-0.1148282","-0.5461191","1.046557","0.2246216","0.6226219","0.002530889","0.7720532","0.1275529"
14:21:21:431","-0.005663689","1.707884","-0.01592305","0.03090603","0.07372505","-0.03409983","-0.9962162","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.2036518","1.09963","0.2763518","-0.9174928","0.08211191","0.3718405","-0.1148903","-0.5438963","1.048388","0.2208444","0.6232055","0.002627445","0.771582","0.1275508"
14:21:21:454","-0.006257448","1.708114","-0.02394077","0.02426684","0.06821344","-0.03506014","-0.9967592","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.2009085","1.10097","0.269456","-0.9170384","0.0819716","0.3729594","-0.1149904","-0.5415787","1.049627","0.2176288","0.6241464","0.002782978","0.7708214","0.1275475"
14:21:21:475","-0.00684816","1.708302","-0.03206161","0.01739701","0.06381578","-0.03315356","-0.9972591","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.1997287","1.102411","0.2613644","-0.9174361","0.08209435","0.3719804","-0.1149027","-0.5409532","1.050905","0.2122968","0.6233231","0.002646903","0.7714869","0.1275503"
14:21:21:498","-0.007540338","1.708668","-0.04023114","0.01458262","0.05807323","-0.02797614","-0.9978137","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.1978159","1.103928","0.2542107","-0.9169832","0.08195461","0.3730952","-0.1150025","-0.5395793","1.052409","0.2089643","0.6242604","0.002801747","0.7707288","0.1275472"
14:21:21:520","-0.007848803","1.708742","-0.04834095","0.01924131","0.05216606","-0.02210765","-0.9982083","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.1977453","1.104959","0.2472965","-0.9169984","0.08195921","0.373058","-0.1149991","-0.5401008","1.053273","0.2056664","0.6242291","0.002796652","0.7707543","0.1275473"
14:21:21:543","-0.007902005","1.708798","-0.05712304","0.02645099","0.04638357","-0.01377254","-0.9984785","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.1976036","1.104578","0.2423521","-0.9170194","0.08196582","0.3730063","-0.1149945","-0.5404229","1.052635","0.2043446","0.6241858","0.0027896","0.7707894","0.1275474"
14:21:21:586","-0.006176025","1.708362","-0.06780142","0.02142089","0.03459807","-0.01477745","-0.9990625","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.1944317","1.104271","0.239262","-0.9147478","0.08126906","0.378543","-0.1154879","-0.5382537","1.052058","0.2090093","0.6288338","0.003560479","0.7670019","0.1275282"
14:21:21:604","-0.005766138","1.708966","-0.07807803","0.01592248","0.025993","-0.01516973","-0.9994202","-0.5197042","1.147721","0.4557431","0.5742507","-0.2559052","0.2964319","0.7189415","-0.6778666","1.139812","0.3094402","-0.6609606","0.1295379","-0.02781488","-0.7386321","-0.1938117","1.105727","0.225974","-0.9159429","0.08163477","0.3756415","-0.1152298","-0.5391758","1.052572","0.200252","0.6263995","0.003156288","0.7689914","0.1275388"
