"Remote_HMD_p_x","Remote_HMD_p_y","Remote_HMD_p_z","Remote_HMD_r_x","Remote_HMD_r_y","Remote_HMD_r_z","Remote_HMD_r_w","Remote_Right_p_x","Remote_Right_p_y","Remote_Right_p_z","Remote_Right_r_x","Remote_Right_r_y","Remote_Right_r_z","Remote_Right_r_w","Remote_Left_p_x","Remote_Left_p_y","Remote_Left_p_z","Remote_Left_r_x","Remote_Left_r_y","Remote_Left_r_z","Remote_Left_r_w","Remote_FingertipR_p_x","Remote_FingertipR_p_y","Remote_FingertipR_p_z","Remote_FingertipR_r_x","Remote_FingertipR_r_y","Remote_FingertipR_r_z","Remote_FingertipR_r_w","Remote_FingertipL_p_x","Remote_FingertipL_p_y","Remote_FingertipL_p_z","Remote_FingertipL_r_x","Remote_FingertipL_r_y","Remote_FingertipL_r_z","Remote_FingertipL_r_w","
18:29:58:247","0.07892036","1.181935","0.2623401","-0.0835315","0.08720496","-0.008689784","-0.9926441","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2006501","0.8116456","0.4569247","-0.9901181","0.1076","0.04218144","-0.07942963","-0.4517193","0.8135729","0.5253654","0.692493","-0.01863484","0.7084702","0.1348199"
18:29:58:273","0.07963537","1.182245","0.2616809","-0.08330113","0.08783128","-0.008212257","-0.9926123","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2016028","0.8118848","0.4548138","-0.9902081","0.1077733","0.04001778","-0.07919431","-0.4534662","0.8139366","0.5230305","0.690943","-0.01892933","0.7099818","0.1347788"
18:29:58:308","0.08028882","1.182597","0.2612249","-0.08341302","0.08625462","-0.007986407","-0.992743","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1998787","0.8115027","0.4556739","-0.9901155","0.1075948","0.042247","-0.0794368","-0.4512679","0.8135579","0.5246944","0.6925399","-0.018626","0.7084244","0.1348211"
18:29:58:341","0.08136451","1.183013","0.260574","-0.08413186","0.0842663","-0.007701228","-0.9928554","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1991726","0.811583","0.4552476","-0.9900985","0.1075626","0.04264706","-0.07948026","-0.4511163","0.8137227","0.5250359","0.6928261","-0.01857145","0.7081445","0.1348286"
18:29:58:375","0.08215337","1.183829","0.2598979","-0.08316394","0.08437194","-0.00583935","-0.9929406","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1994071","0.8117917","0.4529346","-0.9901912","0.1077399","0.04043625","-0.07923981","-0.4523271","0.8140334","0.5223686","0.6912433","-0.01887249","0.7096898","0.1347869"
18:29:58:424","0.08307438","1.185003","0.2591055","-0.07995665","0.0855936","-0.003706546","-0.9931097","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.199563","0.81189","0.4521265","-0.9902354","0.1078279","0.03933621","-0.07912029","-0.4526442","0.8141326","0.5206857","0.6904545","-0.01902218","0.7104573","0.1347658"
18:29:58:451","0.08314347","1.185243","0.2583752","-0.07887456","0.08696193","-0.002781897","-0.9930805","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1991311","0.8119305","0.4524251","-0.9902385","0.1078342","0.03925669","-0.07911142","-0.4518281","0.8141268","0.520227","0.6903972","-0.01903312","0.7105128","0.1347643"
18:29:58:475","0.08262213","1.185518","0.2568684","-0.07870287","0.09192729","-0.005060151","-0.9926378","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.201082","0.8115536","0.4500351","-0.9903666","0.1081031","0.0358809","-0.07874336","-0.4538615","0.8137089","0.5154471","0.6879712","-0.01949213","0.7128617","0.1346985"
18:29:58:512","0.08237753","1.186021","0.2560298","-0.07983591","0.09756672","-0.005662523","-0.9920056","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2009297","0.8118652","0.4492819","-0.9903964","0.1081694","0.03504738","-0.07865234","-0.4522347","0.8137864","0.5119924","0.6873708","-0.01960566","0.7134407","0.1346821"
18:29:58:538","0.08230772","1.186489","0.2552767","-0.07415973","0.09505554","-0.001351158","-0.9927049","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.1961804","0.812362","0.4545269","-0.9900836","0.1075356","0.04298393","-0.0795168","-0.4447382","0.8140191","0.5183678","0.693067","-0.01852562","0.7079087","0.1348349"
