"Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
18:28:50:299","0.07624293","1.236072","0.2282847","0.2932004","0.07742107","0.05053676","-0.95157","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2481486","0.8201607","0.4914771","-0.9901669","0.1076931","0.041021","-0.07930338","-0.5020549","0.8248613","0.5851341","0.6916622","-0.01879279","0.7092816","0.134798"
18:28:50:324","0.07636646","1.236079","0.2283282","0.2932545","0.07710356","0.05060743","-0.9515754","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2479074","0.8201772","0.4913836","-0.9901648","0.1076889","0.04107308","-0.0793092","-0.501948","0.8248949","0.5852031","0.6916993","-0.01878578","0.709245","0.134799"
18:28:50:352","0.07650223","1.236087","0.2283627","0.2932679","0.07688209","0.05048373","-0.9515957","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2479165","0.820178","0.4912067","-0.9901723","0.1077033","0.04089446","-0.07928962","-0.5021672","0.8249153","0.5850693","0.6915715","-0.01881007","0.70937","0.1347956"
18:28:50:379","0.07661886","1.236094","0.2283863","0.2932901","0.07681581","0.05039984","-0.9515988","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2478503","0.820172","0.491056","-0.990179","0.1077163","0.0407298","-0.07927176","-0.502221","0.824921","0.5849245","0.6914536","-0.0188325","0.7094848","0.1347923"
18:28:50:408","0.07677002","1.2361","0.2284029","0.2931423","0.07674231","0.05036051","-0.9516523","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2477382","0.8201606","0.4910238","-0.9901781","0.1077142","0.04075587","-0.07927465","-0.502156","0.8249148","0.5849224","0.6914722","-0.01882891","0.7094666","0.134793"
18:28:50:446","0.07695551","1.236095","0.2284689","0.2929886","0.07635971","0.05042041","-0.9517272","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2474277","0.8201499","0.49117","-0.9901619","0.1076829","0.0411462","-0.07931712","-0.5018271","0.8249097","0.5852953","0.6917518","-0.01877577","0.7091938","0.1348004"
18:28:50:479","0.07709915","1.236101","0.2285625","0.2927753","0.07584274","0.05056252","-0.9518266","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2471814","0.8201233","0.4912154","-0.9901543","0.1076683","0.04133013","-0.07933717","-0.5017271","0.8249048","0.5855963","0.6918834","-0.01875073","0.7090654","0.1348039"
18:28:50:507","0.07718889","1.236089","0.2286394","0.2926385","0.07558901","0.05060163","-0.9518868","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2472421","0.820117","0.4908887","-0.9901684","0.1076954","0.04099023","-0.07930004","-0.5020914","0.824929","0.5853386","0.69164","-0.01879708","0.7093028","0.1347974"
18:28:50:556","0.07726528","1.236082","0.2287396","0.292374","0.07535218","0.05072515","-0.9519803","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2471675","0.820091","0.4908572","-0.9901677","0.1076946","0.04100158","-0.07930146","-0.502129","0.8249182","0.5854318","0.6916483","-0.01879546","0.7092949","0.1347976"
18:28:50:583","0.07727113","1.236069","0.2287759","0.2924032","0.07520212","0.05077317","-0.9519806","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2471904","0.8200867","0.4907089","-0.9901733","0.107705","0.04087242","-0.07928734","-0.5022939","0.8249295","0.585343","0.6915559","-0.01881305","0.7093852","0.1347951"
